symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-04-16 00:00:00+00:00,286.69,288.2,282.35,287.38,39281290,69.7303628102,70.0976335481,68.6747634709,69.8981885117,157125160,0.0,1.0
AAPL,2020-04-17 00:00:00+00:00,282.8,286.95,276.86,284.69,53812478,68.7842150153,69.7936014803,67.3394546292,69.2439115018,215249912,0.0,1.0
AAPL,2020-04-20 00:00:00+00:00,276.93,281.68,276.85,277.95,32503750,67.356480425,68.5118022826,67.3370223726,67.6045705923,130015000,0.0,1.0
AAPL,2020-04-21 00:00:00+00:00,268.37,277.25,265.43,276.28,45247893,65.2744688248,67.4343126343,64.5593854014,67.1983837497,180991572,0.0,1.0
AAPL,2020-04-22 00:00:00+00:00,276.1,277.9,272.2,273.61,29264342,67.154603132,67.5924093096,66.2060230805,66.548971253,117057368,0.0,1.0
AAPL,2020-04-23 00:00:00+00:00,275.03,281.75,274.87,275.87,31203582,66.894351682,68.5288280784,66.8554355773,67.0986612315,124814328,0.0,1.0
AAPL,2020-04-24 00:00:00+00:00,282.97,283.01,277.0,277.2,31627183,68.8255633765,68.8352924027,67.3735062208,67.4221513516,126508732,0.0,1.0
AAPL,2020-04-27 00:00:00+00:00,283.17,284.54,279.95,281.8,29271893,68.8742085074,69.2074276536,68.0910219007,68.5409893611,117087572,0.0,1.0
AAPL,2020-04-28 00:00:00+00:00,278.58,285.83,278.2,285.08,28001187,67.7578027545,69.5211887476,67.6653770059,69.3387695069,112004748,0.0,1.0
AAPL,2020-04-29 00:00:00+00:00,287.73,289.67,283.89,284.73,34320204,69.9833174906,70.4551752598,69.0493309784,69.253640528,137280816,0.0,1.0
AAPL,2020-04-30 00:00:00+00:00,293.8,294.53,288.35,289.96,45765968,71.4596972118,71.6372519394,70.1341173963,70.5257106996,183063872,0.0,1.0
AAPL,2020-05-01 00:00:00+00:00,289.07,299.0,285.85,286.25,60154175,70.3092398673,72.7244706138,69.5260532607,69.6233435224,240616700,0.0,1.0
AAPL,2020-05-04 00:00:00+00:00,293.16,293.69,286.32,289.17,33391986,71.3040327931,71.4329423898,69.6403693182,70.3335624327,133567944,0.0,1.0
AAPL,2020-05-05 00:00:00+00:00,297.56,301.0,294.46,295.06,36937795,72.3742256717,73.2109219222,71.6202261436,71.7661615361,147751180,0.0,1.0
AAPL,2020-05-06 00:00:00+00:00,300.63,303.24,298.87,300.46,35583438,73.1209284302,73.7557473877,72.6928512787,73.0795800689,142333752,0.0,1.0
AAPL,2020-05-07 00:00:00+00:00,303.74,305.17,301.97,303.22,28803764,73.8773602148,74.2251729003,73.4468508068,73.7508828746,115215056,0.0,1.0
AAPL,2020-05-08 00:00:00+00:00,310.13,310.35,304.29,305.64,33511985,75.6310171818,75.684668308,74.2068236489,74.536046469,134047940,0.82,1.0
AAPL,2020-05-11 00:00:00+00:00,315.01,317.05,307.24,308.1,36486561,76.8210967092,77.3185889707,74.926236478,75.1359636079,145946244,0.0,1.0
AAPL,2020-05-12 00:00:00+00:00,311.41,319.69,310.91,317.83,40575263,75.943169189,77.9624024855,75.8212348112,77.5088066001,162301052,0.0,1.0
AAPL,2020-05-13 00:00:00+00:00,307.65,315.95,303.21,312.15,50155639,75.0262226678,77.0503333395,73.9434453929,76.1236320681,200622556,0.0,1.0
AAPL,2020-05-14 00:00:00+00:00,309.54,309.79,301.53,304.51,39732269,75.487134616,75.5481018049,73.5337458834,74.2604747752,158929076,0.0,1.0
AAPL,2020-05-15 00:00:00+00:00,307.71,307.9,300.21,300.35,41587094,75.0408547932,75.0871898567,73.211839126,73.2459807518,166348376,0.0,1.0
AAPL,2020-05-18 00:00:00+00:00,314.96,316.5,310.32,313.17,33843125,76.8089032714,77.1844611551,75.6773522453,76.3723781989,135372500,0.0,1.0
AAPL,2020-05-19 00:00:00+00:00,313.14,318.52,313.01,315.03,25432385,76.3650621362,77.6770760415,76.333359198,76.8259740843,101729540,0.0,1.0
AAPL,2020-05-20 00:00:00+00:00,319.23,319.52,316.52,316.68,27876215,77.850222858,77.9209447971,77.1893385302,77.2283575311,111504860,0.0,1.0
AAPL,2020-05-21 00:00:00+00:00,316.85,320.89,315.87,318.66,25672211,77.2698152196,78.2550449923,77.0308238391,77.7112176672,102688844,0.0,1.0
AAPL,2020-05-22 00:00:00+00:00,318.89,319.23,315.35,315.77,20450754,77.767307481,77.850222858,76.9040120861,77.0064369635,81803016,0.0,1.0
AAPL,2020-05-26 00:00:00+00:00,316.73,324.24,316.5,323.5,31380454,77.2405509689,79.0720053236,77.1844611551,78.8915424445,125521816,0.0,1.0
AAPL,2020-05-27 00:00:00+00:00,318.11,318.71,313.09,316.14,28236274,77.5770898517,77.723411105,76.3528686984,77.0966684031,112945096,0.0,1.0
AAPL,2020-05-28 00:00:00+00:00,318.25,323.44,315.63,316.77,33449103,77.6112314774,78.8769103191,76.9722953377,77.2503057191,133796412,0.0,1.0
AAPL,2020-05-29 00:00:00+00:00,317.94,321.15,316.47,319.25,38399532,77.5356321632,78.3184508688,77.1771450924,77.8551002331,153598128,0.0,1.0
